X Y
477417.2 4434128.5
477267.9 4434045.7
477228.9 4433650.1
476805.2 4433715.7
476659.8 4433864.5
476614.4 4433547.5
476745.4 4433274.8
476553.7 4433049.0
475847.3 4433239.2
475847.4 4433511.6
475636.2 4433637.0
475495.1 4433518.5
475263.9 4433651.4
474709.9 4433530.5
474199.2 4433718.3
473726.5 4434536.2
473412.2 4435379.4
473084.4 4435601.2
472791.4 4436040.2
472055.9 4436591.9
471487.9 4436806.8
470485.8 4436711.6
470162.8 4436443.1
469142.7 4436173.7
467794.1 4436124.0
467668.9 4435169.8
467791.4 4434738.4
468040.6 4434441.1
468075.4 4433932.4
467935.4 4433425.5
467891.4 4433354.5
467143.5 4433584.5
467029.1 4433357.5
466602.7 4433203.7
466366.7 4432803.5
466382.3 4432532.1
466604.6 4432394.0
466459.3 4431840.3
465781.6 4431628.0
465052.1 4432000.4
465165.6 4432282.6
465029.0 4432476.6
464642.0 4432517.8
464375.5 4432841.1
463997.0 4432850.9
463796.4 4433045.4
463640.1 4432988.2
463285.9 4432103.1
